stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,postal_code
12500,12500.0,Addison & Leclaire,"Addison & Leclaire, Eastbound, Southside of the Street",41.94599482,-87.75442046,0,,1,60641
12501,12501.0,Addison & Lavergne,"Addison & Lavergne, Eastbound, Southwest Corner",41.94602582,-87.75206046,0,,1,60641
12502,12502.0,Addison & Lamon,"Addison & Lamon, Eastbound, Southside of the Street",41.94602164,-87.74973813,0,,1,60641
12504,12504.0,Addison & Kilpatrick,"Addison & Kilpatrick, Eastbound, Southwest Corner",41.94609917,-87.74409295,0,,1,60641
12505,12505.0,Addison & Kenton,"Addison & Kenton, Eastbound, Southeast Corner",41.94613066,-87.74183914,0,,1,60641
12507,12507.0,Addison & Kostner,"Addison & Kostner, Eastbound, Southwest Corner",41.94618879,-87.73730274,0,,1,60641
12508,12508.0,Addison & Milwaukee,"Addison & Milwaukee, Eastbound, Southeast Corner",41.94621021,-87.73501993,0,,1,60641
12509,12509.0,Addison & Keeler,"Addison & Keeler, Eastbound, Southwest Corner",41.9462376,-87.73229411,0,,1,60641
12510,12510.0,Addison & Karlov,"Addison & Karlov, Eastbound, Southwest Corner",41.94629113,-87.72931198,0,,1,60641
12512,12512.0,Addison & Springfield,"Addison & Springfield, Eastbound, Southwest Corner",41.9463223,-87.72507899,0,,1,60641
12513,12513.0,Addison & Hamlin,"Addison & Hamlin, Eastbound, Southwest Corner",41.9463543,-87.72263599,0,,1,60618
12514,12514.0,Addison & Lawndale/Avondale,"Addison & Lawndale/Avondale, Eastbound, Southwest Corner",41.94641121,-87.72014702,0,,1,60618
